nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,part2.thisRepN,part2.thisTrialN,part2.thisN,part2.thisIndex,key_resp.started,WelcomeText.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,key_resp_2.started,ConsentText.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.started,InstructionText.started,key_resp_3.keys,key_resp_3.rt,key_resp_8.started,text_7.started,key_resp_8.keys,key_resp_8.rt,text_4.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,image.started,key_resp_7.started,joystick.started,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,joystick.x,joystick.y,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,joystick.time,text_6.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,image_2.started,key_resp_9.started,button_resp.started,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,button_resp.keys,button_resp.stopped,text_8.started,key_resp_13.started,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,23.69514340002206,23.69514340002206,space,12.95131709999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.66702350002015,37.16719040001044,37.16719040001044,37.16719040001044,space,0.6152239999792073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.800462700019125,38.3003986000258,,,,,38.3003986000258,38.3003986000258,space,0.29865710000740364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.61710430000676,39.11706660001073,,,,,,,,,39.11706660001073,39.11706660001073,space,0.3924737999914214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Goat 1.jpg,1,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,44.31676530002733,44.81687140002032,,,,,,,,,,,,,40.046061400003964,40.046061400003964,space,2.384444399998756,42.482053700019605,42.482053700019605,0.018096599989803508,1,1,1.8119870999944396,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.8453302000125404,,,,,,,,,,,,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Happy face 2.jpg,1,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,45.10061650001444,45.599966800014954,,,,,,,,,,,,,,,,,44.81687140002032,44.81687140002032,0.006076400022720918,2,0,0.25319789999048226,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.27790810001897626,,,,,,,,,,,,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Lion 1.jpg,1,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,45.78451120000682,46.283371700003045,,,,,,,,,,,,,,,,,45.599966800014954,45.599966800014954,0.0014919999812263995,1,1,0.15914910001447424,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.18126429998665117,,,,,,,,,,,,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Monkey 1.jpg,1,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,46.517198100016685,47.01667940002517,,,,,,,,,,,,,,,,,46.283371700003045,46.283371700003045,-0.00032900000223889947,2,0,0.21161050000227988,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.22931979998247698,,,,,,,,,,,,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Dog 12.jpg,1,,,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,47.31713770001079,47.819225300016114,,,,,,,,,,,,,,,,,47.01667940002517,47.01667940002517,0.0016563999815844,1,1,0.26912630000151694,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.2965803999977652,,,,,,,,,,,,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Gun 5.jpg,2,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,48.11708160000853,48.617700700007845,,,,,,,,,,,,,,,,,47.819225300016114,47.819225300016114,0.006433799979276955,2,1,0.2662708999996539,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.29132960000424646,,,,,,,,,,,,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
