nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,part2.thisRepN,part2.thisTrialN,part2.thisN,part2.thisIndex,trialsStudyImages2.thisRepN,trialsStudyImages2.thisTrialN,trialsStudyImages2.thisN,trialsStudyImages2.thisIndex,trialsTestImages2_1.thisRepN,trialsTestImages2_1.thisTrialN,trialsTestImages2_1.thisN,trialsTestImages2_1.thisIndex,trialsTestImages2_2.thisRepN,trialsTestImages2_2.thisTrialN,trialsTestImages2_2.thisN,trialsTestImages2_2.thisIndex,trialsTestImages2_3.thisRepN,trialsTestImages2_3.thisTrialN,trialsTestImages2_3.thisN,trialsTestImages2_3.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,image_7.started,image_7.stopped,text_9.started,text_9.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,key_resp_16.keys,key_resp_16.corr,key_resp_16.rt,key_resp_16.started,key_resp_16.stopped,image_6.started,image_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,key_resp_17.keys,key_resp_17.corr,key_resp_17.rt,key_resp_17.started,key_resp_17.stopped,image_8.started,image_8.stopped,key_resp_18.keys,key_resp_18.corr,key_resp_18.rt,key_resp_18.started,key_resp_18.stopped,image_9.started,image_9.stopped,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.467687499942258,9.50865741702728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.50865741702728,None,9.990672833053395,None,space,0.4464487910736352,10.479986125021242,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95030637504533,None,,,,,10.479986125021242,None,space,0.3213359579676762,11.449214958003722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.788113542017527,None,,,,,,,,,,,11.449214958003722,None,space,0.26715825009159744,12.279283625073731,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Tiger 2.jpg,2,,,0,0,0,1,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,14.967159250052646,None,,,,,,,,,,,,,,,,,12.279283625073731,None,13.060558583005331,None,space,0.35043554205913097,13.060558583005331,None,1,1.4899639169452712,13.45365479204338,None,13.45365479204338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Pigeon 4.jpg,2,,,0,0,0,1,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,15.842158333049156,None,,,,,,,,,,,,,,,,,,,,,,,,,1,0.36193958402145654,15.467044832999818,None,15.467044832999818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Shark 7.jpg,2,,,0,0,0,1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,17.18303104210645,None,,,,,,,,,,,,,,,,,,,,,,,,,1,0.8311120419530198,16.34518820804078,None,16.34518820804078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Storage 3.jpg,1,,,0,0,0,1,,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,17.92280366702471,None,,,,,,,,,,,,,,,,,,,,,,,,,1,0.22816241707187146,17.682411000016145,None,17.682411000016145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Rocks 3.jpg,1,,,0,0,0,1,,,,,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,,,,,18.66078150004614,None,,,,,,,,,,,,,,,,,,,,,,,,,1,0.22430220793467015,18.428443833021447,None,18.428443833021447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Wedding 7.jpg,1,,,0,0,0,1,,,,,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,,,,,19.37349345802795,None,,,,,,,,,,,,,,,,,,,,,,,,,1,0.20264266605954617,19.157546000089496,None,19.157546000089496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
