nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,trialsTest1_2.thisRepN,trialsTest1_2.thisTrialN,trialsTest1_2.thisN,trialsTest1_2.thisIndex,trialsTest1_3.thisRepN,trialsTest1_3.thisTrialN,trialsTest1_3.thisN,trialsTest1_3.thisIndex,trialsTest1_4.thisRepN,trialsTest1_4.thisTrialN,trialsTest1_4.thisN,trialsTest1_4.thisIndex,part2.thisRepN,part2.thisTrialN,part2.thisN,part2.thisIndex,trialsStudyImages2.thisRepN,trialsStudyImages2.thisTrialN,trialsStudyImages2.thisN,trialsStudyImages2.thisIndex,trialsTestImages2_1.thisRepN,trialsTestImages2_1.thisTrialN,trialsTestImages2_1.thisN,trialsTestImages2_1.thisIndex,trialsTestImages2_2.thisRepN,trialsTestImages2_2.thisTrialN,trialsTestImages2_2.thisN,trialsTestImages2_2.thisIndex,trialsTestImages2_3.thisRepN,trialsTestImages2_3.thisTrialN,trialsTestImages2_3.thisN,trialsTestImages2_3.thisIndex,trialsTestImages2_4.thisRepN,trialsTestImages2_4.thisTrialN,trialsTestImages2_4.thisN,trialsTestImages2_4.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_7.started,text_7.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image.started,image.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_2.started,image_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_3.started,image_3.stopped,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,image_4.started,image_4.stopped,key_resp_12.keys,key_resp_12.corr,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,image_5.started,image_5.stopped,text_8.started,text_8.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,image_7.started,image_7.stopped,text_9.started,text_9.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,key_resp_16.keys,key_resp_16.corr,key_resp_16.rt,key_resp_16.started,key_resp_16.stopped,image_6.started,image_6.stopped,key_resp_17.keys,key_resp_17.corr,key_resp_17.rt,key_resp_17.started,key_resp_17.stopped,image_8.started,image_8.stopped,key_resp_18.keys,key_resp_18.corr,key_resp_18.rt,key_resp_18.started,key_resp_18.stopped,image_9.started,image_9.stopped,key_resp_19.keys,key_resp_19.corr,key_resp_19.rt,key_resp_19.started,key_resp_19.stopped,image_10.started,image_10.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.started,key_resp_20.stopped,text_3.started,text_3.stopped,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.7950175419973675,9.502419291005936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Sep_19_2206,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.502419291005936,None,11.317631250014529,None,space,1.3403907080064528,11.814134416024899,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Sep_19_2206,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.18405808301759,None,,,,,11.814134416024899,None,space,0.518994207988726,13.68100941600278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Sep_19_2206,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.212175166001543,None,,,,,,,,,,,13.68100941600278,None,space,0.36897224897984415,14.70624291599961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Sep_19_2206,psychopy,2021.2.3,None,
1,0,Images/Goat 1.jpg,1,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.04633283300791,None,,,,,,,,,,,,,,,,,14.70624291599961,None,15.600255833007395,None,space,0.37630379101028666,15.600255833007395,None,16.025680457998533,None,1,1,4.005872498993995,16.025680457998533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Sep_19_2206,psychopy,2021.2.3,None,
1,0,Images/Fire 7.jpg,2,1.7007,0.6719101083569338,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.415831916005118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.537747708003735,None,space,3.009352958004456,20.537747708003735,None,23.615169083001092,None,1,0,0.769633458025055,23.615169083001092,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Sep_19_2206,psychopy,2021.2.3,None,
1,0,Images/Elephant 1.jpg,1,5.8272,0.37337377918824577,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.269338166021043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.903914291004185,None,space,1.6845728330081329,24.903914291004185,None,1,1,0.6188055830134545,26.63543079100782,None,26.63543079100782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Sep_19_2206,psychopy,2021.2.3,None,
1,0,Images/Sleepy pose 1.jpg,1,2.603,0.943587941998371,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.78834412500146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.772084374999395,None,space,0.3582430829992518,27.772084374999395,None,,,,,,,,1,1,0.6094452910183463,28.163098250020994,None,28.163098250020994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Sep_19_2206,psychopy,2021.2.3,None,
1,0,Images/Dirt 1.jpg,2,1.6168,0.3257823652655115,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.269694916001754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.285278708004626,None,space,0.31405508299940266,29.285278708004626,None,,,,,,,,,,,,,,,1,0,0.6197093749942724,29.631241000024602,None,29.631241000024602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Sep_19_2206,psychopy,2021.2.3,None,
1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Sep_19_2206,psychopy,2021.2.3,None,
