nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,part2.thisRepN,part2.thisTrialN,part2.thisN,part2.thisIndex,trialsStudyImages2.thisRepN,trialsStudyImages2.thisTrialN,trialsStudyImages2.thisN,trialsStudyImages2.thisIndex,key_resp.started,WelcomeText.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,key_resp_2.started,ConsentText.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.started,InstructionText.started,key_resp_3.keys,key_resp_3.rt,key_resp_8.started,text_7.started,key_resp_8.keys,key_resp_8.rt,text_8.started,key_resp_13.started,key_resp_13.keys,key_resp_13.rt,key_resp_14.started,image_7.started,key_resp_14.keys,key_resp_14.rt,key_resp_14.stopped,image_7.stopped,text_9.started,key_resp_15.started,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,9.639287900005002,9.639287900005002,space,6.079314300004626,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_18h49.27.420,psychopy,2022.2.4,59.683640888232745,
,,,,,,,,,,,,,,,,,,,,,,,,15.743014400009997,16.24311770001077,16.24311770001077,16.24311770001077,space,0.4841037000005599,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_18h49.27.420,psychopy,2022.2.4,59.683640888232745,
,,,,,,,,,,,,,,,,,,,,,,,,16.759766800008947,17.259627499995986,,,,,17.259627499995986,17.259627499995986,space,0.4040831000020262,,,,,,,,,,,,,,,,,,001,A,2022-10-21_18h49.27.420,psychopy,2022.2.4,59.683640888232745,
,,,,,,,,,,,,,,,,,,,,,,,,17.692627900018124,18.193968700012192,,,,,,,,,18.193968700012192,18.193968700012192,space,0.4757898999960162,,,,,,,,,,,,,,001,A,2022-10-21_18h49.27.420,psychopy,2022.2.4,59.683640888232745,
0,1,Images/Surprise 2.jpg,2,0,0,0,1,,,,,0,0,0,0,0,0,0,0,,,,,20.66060770000331,19.197872600023402,,,,,,,,,,,,,19.197872600023402,19.197872600023402,space,0.4164368999772705,19.676763900002697,19.676763900002697,None,,,,,,,001,A,2022-10-21_18h49.27.420,psychopy,2022.2.4,59.683640888232745,
0,1,Images/Tiger 2.jpg,2,0,0,0,1,,,,,0,0,0,0,0,1,1,1,,,,,22.159989100007806,,,,,,,,,,,,,,,,,,21.16163350001443,21.16163350001443,None,,,,,,,001,A,2022-10-21_18h49.27.420,psychopy,2022.2.4,59.683640888232745,
0,1,Images/Storage 3.jpg,1,0,0,0,1,,,,,0,0,0,0,0,2,2,7,,,,,23.126521500002127,23.62602070000139,,,,,,,,,,,,,,,,,22.661164699995425,22.661164699995425,1,0.4326347000023816,,,,,,001,A,2022-10-21_18h49.27.420,psychopy,2022.2.4,59.683640888232745,
0,1,Images/Wedding 7.jpg,1,0,0,0,1,,,,,0,0,0,0,0,3,3,6,,,,,24.109422200010158,24.61109240000951,,,,,,,,,,,,,,,,,23.62602070000139,23.62602070000139,1,0.4597023999958765,,,,,,001,A,2022-10-21_18h49.27.420,psychopy,2022.2.4,59.683640888232745,
0,1,Images/Pigeon 4.jpg,2,0,0,0,1,,,,,0,0,0,0,0,4,4,4,,,,,24.993242099997588,25.49576230000821,,,,,,,,,,,,,,,,,24.61109240000951,24.61109240000951,1,0.3633744000107981,,,,,,001,A,2022-10-21_18h49.27.420,psychopy,2022.2.4,59.683640888232745,
0,1,Images/Shark 7.jpg,2,0,0,0,1,,,,,0,0,0,0,0,5,5,2,,,,,25.89367960000527,26.4085286000045,,,,,,,,,,,,,,,,,25.49576230000821,25.49576230000821,1,0.3665047000104096,,,,,,001,A,2022-10-21_18h49.27.420,psychopy,2022.2.4,59.683640888232745,
0,1,Images/Socks 1.jpg,1,0,0,0,1,,,,,0,0,0,0,0,6,6,8,,,,,26.693623700004537,27.208382500015432,,,,,,,,,,,,,,,,,26.4085286000045,26.4085286000045,1,0.26234180000028573,,,,,,001,A,2022-10-21_18h49.27.420,psychopy,2022.2.4,59.683640888232745,
0,1,Images/Sad face 1.jpg,2,0,0,0,1,,,,,0,0,0,0,0,7,7,3,,,,,27.493092899996554,27.99283000000287,,,,,,,,,,,,,,,,,27.208382500015432,27.208382500015432,1,0.25426750001497567,,,,,,001,A,2022-10-21_18h49.27.420,psychopy,2022.2.4,59.683640888232745,
0,1,Images/Yarn 4.jpg,1,0,0,0,1,,,,,0,0,0,0,0,8,8,5,,,,,28.21013180000591,28.709373000019696,,,,,,,,,,,,,,,,,27.99283000000287,27.99283000000287,1,0.1902680000057444,,,,,,001,A,2022-10-21_18h49.27.420,psychopy,2022.2.4,59.683640888232745,
0,1,Images/Rocks 3.jpg,1,0,0,0,1,,,,,0,0,0,0,0,9,9,9,,,,,29.709370299999136,30.21022660000017,,,,,,,,,,,,,,,,,28.709373000019696,28.709373000019696,None,,29.709370299999136,29.709370299999136,,,,001,A,2022-10-21_18h49.27.420,psychopy,2022.2.4,59.683640888232745,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.21022660000017,30.21022660000017,,,,,,,,
