nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,part2.thisRepN,part2.thisTrialN,part2.thisN,part2.thisIndex,trialsStudyImages2.thisRepN,trialsStudyImages2.thisTrialN,trialsStudyImages2.thisN,trialsStudyImages2.thisIndex,trialsReversed.thisRepN,trialsReversed.thisTrialN,trialsReversed.thisN,trialsReversed.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsOriginal.thisRepN,trialsOriginal.thisTrialN,trialsOriginal.thisN,trialsOriginal.thisIndex,key_resp.started,WelcomeText.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,key_resp_2.started,ConsentText.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.started,InstructionText.started,key_resp_3.keys,key_resp_3.rt,key_resp_8.started,text_7.started,key_resp_8.keys,key_resp_8.rt,text_8.started,key_resp_13.started,key_resp_13.keys,key_resp_13.rt,key_resp_14.started,image_7.started,key_resp_14.keys,key_resp_14.rt,text_9.started,key_resp_15.started,key_resp_15.keys,key_resp_15.rt,key_resp_16.started,image_6.started,key_resp_16.keys,key_resp_16.corr,key_resp_16.rt,text_4.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,image.started,key_resp_7.started,joystick.started,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,joystick.x,joystick.y,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,joystick.time,text_6.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,image_2.started,key_resp_9.started,button_resp.started,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,button_resp.keys,image_2.stopped,key_resp_9.stopped,button_resp.stopped,key_resp_20.started,text_3.started,key_resp_20.keys,key_resp_20.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.45279519999167,10.45279519999167,space,228.75517099999706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.2301931999973,239.7301582999935,239.7301582999935,239.7301582999935,space,0.4854703000164591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.24653109998326,240.74703379999846,,,,,240.74703379999846,240.74703379999846,space,0.340586499980418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.11357210000278,241.6131958999904,,,,,,,,,241.6131958999904,241.6131958999904,space,0.4341476999979932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
0,1,Images/Rocks 3.jpg,1,,,0,0,0,1,,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,244.04792019998422,242.56995360000292,,,,,,,,,,,,,242.56995360000292,242.56995360000292,space,0.4385302999871783,243.06005869997898,243.06005869997898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
0,1,Images/Pigeon 4.jpg,2,,,0,0,0,1,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,245.3804281000048,245.8800071000005,,,,,,,,,,,,,,,,,244.54736199998297,244.54736199998297,1,0.8124642000184394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
0,1,Images/Storage 3.jpg,1,,,0,0,0,1,,,,,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,246.18042910000077,246.6815311999817,,,,,,,,,,,,,,,,,245.8800071000005,245.8800071000005,2,0.27940500000840984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
0,1,Images/Surprise 2.jpg,2,,,0,0,0,1,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,246.91357539998717,247.41381739999633,,,,,,,,,,,,,,,,,246.6815311999817,246.6815311999817,1,0.20648439999786206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
0,1,Images/Socks 1.jpg,1,,,0,0,0,1,,,,,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,,,247.56371759998729,248.0659483000054,,,,,,,,,,,,,,,,,247.41381739999633,247.41381739999633,1,0.12976959999650717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
0,1,Images/Tiger 2.jpg,2,,,0,0,0,1,,,,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,248.1636337999953,248.66382259997772,,,,,,,,,,,,,,,,,248.0659483000054,248.0659483000054,1,0.0780654999834951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
