WordItem,WordColor,trialsOUTER.thisRepN,trialsOUTER.thisTrialN,trialsOUTER.thisN,trialsOUTER.thisIndex,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,space,0.5681171250180341,7.649750874959864,None,,,,,,,,,,,,,,,,,,,,001,2022_Jun_01_1812,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,7.649750874959864,None,8.22968150000088,None,space,0.3525845829863101,8.730526875006035,None,,,,,,,,,,,,001,2022_Jun_01_1812,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,9.09648433298571,None,,,,,8.730526875006035,None,space,0.24730129196541384,9.597684832988307,None,,,,,,001,2022_Jun_01_1812,psychopy,2021.2.3,None,
A,green,0,0,0,0,0,0,0,0,,,,,,,12.359369957994204,None,,,,,,,,,,,9.597684832988307,None,10.371738791989628,None,,001,2022_Jun_01_1812,psychopy,2021.2.3,None,
A,green,0,0,0,0,1,0,1,0,,,,,,,14.848215832957067,None,,,,,,,,,,,,,12.860475082998164,None,,001,2022_Jun_01_1812,psychopy,2021.2.3,None,
A,green,0,0,0,0,,,,,space,1.66324116603937,15.342815042007715,None,15.342815042007715,None,,,,,,,,,,,,,,,,,,001,2022_Jun_01_1812,psychopy,2021.2.3,None,
asdfdfasdf,green,0,1,1,3,0,0,0,0,,,,,,,19.024119499954395,None,,,,,,,,,,,,,17.02653749997262,None,,001,2022_Jun_01_1812,psychopy,2021.2.3,None,
asdfdfasdf,green,0,1,1,3,1,0,1,0,,,,,,,21.51425266696606,None,,,,,,,,,,,,,19.517179457994644,None,,001,2022_Jun_01_1812,psychopy,2021.2.3,None,
asdfdfasdf,green,0,1,1,3,,,,,space,0.5069920420064591,22.008078207960352,None,22.008078207960352,None,,,,,,,,,,,,,,,,,,001,2022_Jun_01_1812,psychopy,2021.2.3,None,
SDF,green,0,2,2,4,0,0,0,0,,,,,,,24.52638954197755,None,,,,,,,,,,,,,22.535442832973786,None,,001,2022_Jun_01_1812,psychopy,2021.2.3,None,
SDF,green,0,2,2,4,1,0,1,0,,,,,,,27.01738158299122,None,,,,,,,,,,,,,25.01740533299744,None,,001,2022_Jun_01_1812,psychopy,2021.2.3,None,
SDF,green,0,2,2,4,,,,,space,0.37540595897007734,27.508582499984186,None,27.508582499984186,None,,,,,,,,,,,,,,,,,,001,2022_Jun_01_1812,psychopy,2021.2.3,None,
