WordItem,WordColor,ImageFile,AnimateInanimate,wordCompilation.thisRepN,wordCompilation.thisTrialN,wordCompilation.thisN,wordCompilation.thisIndex,oneRep.thisRepN,oneRep.thisTrialN,oneRep.thisN,oneRep.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,ValenceScore,Rand,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,0.6706504169851542,5.608918874990195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.608918874990195,None,6.2993391250493005,None,space,0.19034779095090926,6.7917594170430675,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.003423499991186,None,,,,,6.7917594170430675,None,space,0.21721316606272012,7.505405709031038,None,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.728001291980036,None,,,,,,,,,,,7.505405709031038,None,8.22459445905406,None,space,0.27689249999821186,8.22459445905406,None,,,,,,,,,,,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
A,green,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10.515554583980702,None,,,,,,,,,,,,,,,,,,,8.528709916980006,None,,,,,,,,,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
A,green,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.011812124983408,None,space,0.4773285419214517,11.011812124983408,None,,,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
,,Images/Goat 1.jpg,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,12.502685709041543,None,,,,,,,,,,,,,,,,,,,,,,,,,,,11.535953209036961,None,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
,,Images/Happy face 2.jpg,1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,13.996759167057462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,13.003652874962427,None,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
,,Images/Lion 1.jpg,1,,,,,,,,,0,2,2,2,,,,,,,,,,,,,15.49430266697891,None,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50094183406327,None,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
,,Images/Monkey 1.jpg,1,,,,,,,,,0,3,3,3,,,,,,,,,,,,,16.995504625025205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00169237505179,None,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
,,Images/Dog 12.jpg,1,,,,,,,,,0,4,4,4,,,,,,,,,,,,,18.500776375061832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,17.50331575004384,None,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
,,Images/Gun 5.jpg,2,,,,,,,,,0,5,5,5,,,,,,,,,,,,,19.993767375010066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00320425000973,None,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
,,Images/Money 1.jpg,2,,,,,,,,,0,6,6,6,,,,,,,,,,,,,21.485316334059462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,20.489770791959018,None,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
,,Images/Office supplies 4.jpg,2,,,,,,,,,0,7,7,7,,,,,,,,,,,,,22.9801504999632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9882531670155,None,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
,,Images/Sidewalk 3.jpg,2,,,,,,,,,0,8,8,8,,,,,,,,,,,,,24.482885709032416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,23.483271250035614,None,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
,,Images/Storage 1.jpg,2,,,,,,,,,0,9,9,9,,,,,,,,,,,,,25.981428875005804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,24.984446334070526,None,,001,2022_Jun_03_1429,psychopy,2021.2.3,None,
