ImageFile,AnimateInanimate,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,ValenceScore,Rand,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_7.started,text_7.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image.started,image.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,0.5007321250159293,6.476367915980518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,6.476367915980518,None,6.983921375009231,None,space,0.9701615829253569,7.475407000049017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,8.468499583075754,None,,,,,7.475407000049017,None,space,0.8870629579760134,8.967376166023314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.967376166023314,None,space,1.3255817079916596,9.871061749989167,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,11.209811875014566,None,,,,,,,,,,,,,,,,,9.871061749989167,None,11.70083666604478,None,space,3.6292877080850303,11.70083666604478,None,,,,,,,,,,,,,,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
Images/Goat 1.jpg,1,0,0,0,0,,,,,,,,,,,,,17.549571249983273,None,,,,,,,,,,,,,,,,,,,,,,,,,15.383865499985404,None,1,1,2.144032582989894,15.383865499985404,None,,,,,,,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
Images/Happy face 2.jpg,1,0,1,1,1,,,,,,,,,,,,,18.300637040985748,None,,,,,,,,,,,,,,,,,,,,,,,,,18.052847750019282,None,2,0,0.24093312490731478,18.052847750019282,None,,,,,,,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
Images/Lion 1.jpg,1,0,2,2,2,,,,,,,,,,,,,19.031482541002333,None,,,,,,,,,,,,,,,,,,,,,,,,,18.79986137500964,None,1,1,0.21973754197824746,18.79986137500964,None,,,,,,,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
Images/Monkey 1.jpg,1,0,3,3,3,,,,,,,,,,,,,19.785201916005462,None,,,,,,,,,,,,,,,,,,,,,,,,,19.532143916003406,None,1,1,0.24223008297849447,19.532143916003406,None,,,,,,,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
Images/Dog 12.jpg,1,0,4,4,4,,,,,,,,,,,,,20.34951616602484,None,,,,,,,,,,,,,,,,,,,,,,,,,20.284174208063632,None,1,1,0.05398933298420161,20.284174208063632,None,,,,,,,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
Images/Gun 5.jpg,2,0,5,5,5,,,,,,,,,,,,,20.89928845805116,None,,,,,,,,,,,,,,,,,,,,,,,,,20.851246583042666,None,1,0,0.03311495902016759,20.851246583042666,None,,,,,,,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
Images/Money 1.jpg,2,0,6,6,6,,,,,,,,,,,,,21.693004000000656,None,,,,,,,,,,,,,,,,,,,,,,,,,21.402475125039928,None,1,0,0.26715229207184166,21.402475125039928,None,,,,,,,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
Images/Office supplies 4.jpg,2,0,7,7,7,,,,,,,,,,,,,22.612132041016594,None,,,,,,,,,,,,,,,,,,,,,,,,,22.20410008309409,None,1,0,0.3930412919726223,22.20410008309409,None,,,,,,,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
Images/Sidewalk 3.jpg,2,0,8,8,8,,,,,,,,,,,,,23.467588791041635,None,,,,,,,,,,,,,,,,,,,,,,,,,23.109530291054398,None,1,0,0.34855762508232147,23.109530291054398,None,,,,,,,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
Images/Storage 1.jpg,2,0,9,9,9,,,,,,,,,,,,,24.460311375092715,None,,,,,,,,,,,,,,,,,,,,,,,,,23.969247333006933,None,1,0,0.46808891696855426,23.969247333006933,None,,,,,,,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.95947287499439,None,space,5.844632332911715,24.95947287499439,None,,001,2022_Jun_03_1443,psychopy,2021.2.3,None,
