nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,trialsTest1_2.thisRepN,trialsTest1_2.thisTrialN,trialsTest1_2.thisN,trialsTest1_2.thisIndex,trialsTest1_3.thisRepN,trialsTest1_3.thisTrialN,trialsTest1_3.thisN,trialsTest1_3.thisIndex,trialsTest1_4.thisRepN,trialsTest1_4.thisTrialN,trialsTest1_4.thisN,trialsTest1_4.thisIndex,part2.thisRepN,part2.thisTrialN,part2.thisN,part2.thisIndex,trialsStudyImages2.thisRepN,trialsStudyImages2.thisTrialN,trialsStudyImages2.thisN,trialsStudyImages2.thisIndex,trialsTestImages2_1.thisRepN,trialsTestImages2_1.thisTrialN,trialsTestImages2_1.thisN,trialsTestImages2_1.thisIndex,trialsTestImages2_2.thisRepN,trialsTestImages2_2.thisTrialN,trialsTestImages2_2.thisN,trialsTestImages2_2.thisIndex,trialsTestImages2_3.thisRepN,trialsTestImages2_3.thisTrialN,trialsTestImages2_3.thisN,trialsTestImages2_3.thisIndex,trialsTestImages2_4.thisRepN,trialsTestImages2_4.thisTrialN,trialsTestImages2_4.thisN,trialsTestImages2_4.thisIndex,key_resp.started,WelcomeText.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,key_resp_2.started,ConsentText.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.started,InstructionText.started,key_resp_3.keys,key_resp_3.rt,key_resp_8.started,text_7.started,key_resp_8.keys,key_resp_8.rt,text_4.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,image.started,key_resp_7.started,joystick.started,joystick.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,joystick.x,joystick.y,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,joystick.time,text_6.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,image_2.started,key_resp_9.started,button_resp.started,button_resp.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,button_resp.keys,text_5.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,key_resp_10.started,image_3.started,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_11.started,image_4.started,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,key_resp_12.started,image_5.started,key_resp_12.keys,key_resp_12.corr,key_resp_12.rt,text_8.started,key_resp_13.started,key_resp_13.keys,key_resp_13.rt,key_resp_14.started,image_7.started,key_resp_14.keys,key_resp_14.rt,text_9.started,key_resp_15.started,key_resp_15.keys,key_resp_15.rt,key_resp_16.started,image_6.started,key_resp_16.keys,key_resp_16.corr,key_resp_16.rt,key_resp_17.started,image_8.started,key_resp_17.keys,key_resp_17.corr,key_resp_17.rt,key_resp_18.started,image_9.started,key_resp_18.keys,key_resp_18.corr,key_resp_18.rt,key_resp_19.started,image_10.started,key_resp_19.keys,key_resp_19.corr,key_resp_19.rt,key_resp_20.started,text_3.started,key_resp_20.keys,key_resp_20.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106.6561122001149,1106.6561122001149,space,1.9758280999958515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108.6640314999968,1109.1635688003153,1109.1635688003153,1109.1635688003153,space,11.438235899899155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120.630321800243,1121.1303201001137,,,,,1121.1303201001137,1121.1303201001137,space,13.870282299816608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135.0301483999938,1135.5301387002692,,,,,,,,,1135.5301387002692,1135.5301387002692,space,10.158208899665624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Goat 1.jpg,1,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198.7802516999654,1199.2818154999986,,,,,,,,,,,,,1146.2152430000715,1146.2152430000715,space,6.1849742997437716,1152.4499981999397,1152.4499981999397,0.009517199825495481,2.0322218001820147,1,1,46.31134399957955,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,46.342280299868435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Happy face 2.jpg,1,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201.9131539999507,,,,,,,,,,,,,,,,,,1199.2818154999986,1199.2818154999986,0.005452899727970362,2.011912999674678,1,1,2.599240199662745,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.6235762001015246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Lion 1.jpg,1,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203.7811511000618,1204.2834880002774,,,,,,,,,,,,,,,,,1202.416114100255,1202.416114100255,0.010407800320535898,,1,1,1.3441174998879433,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.359419799875468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Monkey 1.jpg,1,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1205.4635528000072,1205.96662450023,,,,,,,,,,,,,,,,,1204.2834880002774,1204.2834880002774,0.006403499748557806,,1,1,1.1489518992602825,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.1720034000463784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Dog 12.jpg,1,,,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206.613364400342,1207.12880650023,,,,,,,,,,,,,,,,,1205.96662450023,1205.96662450023,0.009661499876528978,,1,1,0.6258952994830906,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.6384482001885772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Gun 5.jpg,2,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1207.8464248999953,1208.3473775000311,,,,,,,,,,,,,,,,,1207.12880650023,1207.12880650023,0.005984900053590536,,2,1,0.6869254997000098,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.7246902999468148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Money 1.jpg,2,,,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1208.8969507999718,1209.3965381002054,,,,,,,,,,,,,,,,,1208.3473775000311,1208.3473775000311,0.007328900042921305,,2,1,0.517990599386394,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5442514000460505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Office supplies 4.jpg,2,,,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209.9297386999242,1210.4319099001586,,,,,,,,,,,,,,,,,1209.3965381002054,1209.3965381002054,0.012408700305968523,,2,1,0.5153134996071458,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5170624000020325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Sidewalk 3.jpg,2,,,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210.997113800142,1211.496534100268,,,,,,,,,,,,,,,,,1210.4319099001586,1210.4319099001586,0.008598499931395054,,2,1,0.5376006998121738,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5590485003776848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Storage 1.jpg,2,,,0,0,0,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212.2140613999218,1212.7134759002365,,,,,,,,,,,,,,,,,1211.496534100268,1211.496534100268,0.004048599861562252,,2,1,0.6966216997243464,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.7121635000221431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
